date,주식형ETF설정액,주식형ETF해지액,주식형ETF증감,ETF제외주식형설정,ETF제외주식형해지,ETF제외주식형증감,단기금융설정,단기금융해지,단기금융증감,파생상품설정,파생상품해지,파생상품증감
2017-11-10,1095,646,449,4214,3118,-957,"18,999","33,927","-14,928","1,810","3,384","-1,574"
2017-11-09,581,849,-269,2983,2402,-1344,"11,955","27,635","-15,680","2,018","2,246",-228
2017-11-08,1693,901,792,3380,1687,-1509,"12,374","12,397",-22,"4,276","1,220","3,057"
2017-11-07,945,847,98,3434,2489,-2168,"27,663","15,802","11,861","3,526","1,601","1,925"
2017-11-06,413,1031,-618,2943,2530,-2020,"24,562","18,351","6,212","2,965","1,800","1,165"
2017-11-03,1717,1329,388,5794,4077,617,"25,894","12,147","13,746","2,601","3,416",-815
2017-11-02,721,1575,-854,8888,8167,-8121,"34,550","13,822","20,729","1,261","3,036","-1,774"
2017-11-01,474,1266,-792,4404,3930,-4354,"17,745","24,707","-6,961","1,734","1,807",-73
2017-10-31,755,923,-168,1221,466,155,"27,591","53,909","-26,318","1,634","1,548",86
2017-10-30,712,963,-251,1237,525,199,"75,561","34,078","41,483","1,384","1,792",-409
2017-10-27,711,637,74,3470,2759,5898,"18,502","14,438","4,064","1,423","2,361",-938
2017-10-26,516,756,-240,3007,2491,-1232,"12,566","19,780","-7,214",990,"1,567",-577
2017-10-25,661,979,-318,7101,6441,-3671,"15,051","21,098","-6,047","2,061","1,026","1,035"
2017-10-24,497,1340,-843,3257,2760,-2155,"16,609","22,480","-5,871","1,141","1,919",-778
2017-10-23,500,906,-407,2950,2450,-2635,"13,255","31,846","-18,591","1,244","1,691",-446
2017-10-20,494,921,-427,2216,1722,-948,"27,096","25,594","1,502","2,480","1,817",663
2017-10-19,414,1186,-773,3880,3466,-2981,"20,737","17,812","2,925","1,865","2,440",-575
2017-10-18,691,1441,-749,2050,1359,-1063,"64,387","22,542","41,845","1,786","3,234","-1,449"
2017-10-17,583,1058,-476,2383,1800,-481,"27,969","21,130","6,839",763,"2,629","-1,866"
2017-10-16,524,1392,-868,4416,3893,-1991,"21,825","32,747","-10,922","1,673","4,584","-2,911"
2017-10-13,320,1562,-1243,7593,7273,-5216,"89,372","25,485","63,886","4,117","4,548",-431
2017-10-12,338,1451,-1113,5877,5538,-3730,"36,697","23,030","13,667",928,"4,721","-3,793"
2017-10-11,1060,1029,31,3155,2095,-940,"40,878","19,065","21,813","1,159","5,041","-3,882"
2017-10-10,294,384,-90,3333,3039,-914,"18,778","25,952","-7,173","1,338","3,383","-2,045"
2017-09-29,606,314,292,2789,2183,2249,"33,768","62,156","-28,388","1,471","1,690",-219
2017-09-28,665,707,-42,1044,380,3854,"17,774","41,335","-23,561","1,650",994,656
2017-09-27,514,410,104,2686,2172,-1693,"26,995","33,138","-6,143","1,132","2,256","-1,124"
2017-09-26,703,525,178,1909,1206,340,"20,403","31,995","-11,592","2,403","1,388","1,015"
2017-09-25,714,717,-3,3323,2609,-2250,"19,078","36,683","-17,605","1,535","2,097",-562
2017-09-22,646,794,-148,2378,1732,337,"21,260","62,278","-41,018","2,326",683,"1,643"
2017-09-21,1163,1313,-150,2998,1835,-872,"14,873","40,131","-25,258",878,"1,825",-947
2017-09-20,511,1159,-648,2698,2186,-912,"12,748","28,878","-16,130",886,"3,255","-2,369"
2017-09-19,467,1005,-538,2282,1815,-1501,"18,083","18,339",-256,"1,235","2,845","-1,610"
2017-09-18,1750,641,1109,1267,-483,3307,"21,177","12,882","8,295","1,271","1,090",182
2017-09-15,269,737,-467,3388,3119,-3369,"32,278","25,807","6,471","1,496","1,626",-130
2017-09-14,749,910,-161,2784,2036,-2176,"18,803","15,098","3,705",963,"1,031",-67
2017-09-13,357,689,-332,2500,2143,-133,"18,876","12,838","6,038","1,400","1,742",-341
2017-09-12,398,539,-141,2509,2111,-1005,"35,600","17,004","18,596",810,"1,768",-958
2017-09-11,362,355,7,1971,1609,-173,"11,550","29,146","-17,597","1,709",815,894
2017-09-08,341,370,-29,2138,1797,2753,"16,487","55,214","-38,727","1,340","2,058",-718
2017-09-07,426,370,56,2764,2339,-1245,"12,165","39,127","-26,962",760,"1,673",-913
2017-09-06,379,865,-486,1972,1592,672,"7,224","7,993",-769,"1,505","1,177",328
2017-09-05,748,449,299,3295,2547,-1709,"62,813","27,224","35,590",899,"1,847",-948
2017-09-04,442,587,-145,1902,1460,-184,"37,251","15,826","21,425","1,452",828,624
2017-09-01,359,456,-97,2175,1816,-1567,"17,523","15,097","2,425",849,"1,382",-533
2017-08-31,536,438,98,2402,1866,1187,"23,395","54,351","-30,956","1,894",863,"1,031"
2017-08-30,991,323,667,1728,737,1399,"15,417","32,425","-17,008","2,565","2,443",121
2017-08-29,645,675,-30,1153,508,1195,"29,737","29,701",35,"2,503","1,231","1,272"
2017-08-28,684,1476,-791,3041,2357,-2754,"12,087","15,835","-3,748","1,679","6,280","-4,601"
2017-08-25,522,511,11,1763,1242,974,"19,097","35,420","-16,323","1,975","1,233",742
2017-08-24,250,534,-285,1150,900,-555,"17,094","33,284","-16,190",701,"3,469","-2,768"
2017-08-23,399,411,-13,2146,1748,-59,"27,320","17,662","9,658","1,086",819,267
2017-08-22,682,698,-16,3222,2540,-2011,"21,534","17,879","3,655","2,218","1,951",268
2017-08-21,395,295,100,2876,2481,-2012,"17,787","20,306","-2,519","1,745","1,121",623
2017-08-18,403,379,24,1244,841,875,"43,268","29,061","14,208","1,898","1,398",500
2017-08-17,1126,394,732,1589,463,539,"27,171","39,731","-12,560",762,"2,638","-1,876"
2017-08-16,669,567,102,1473,805,2708,"37,697","17,010","20,687","2,359","1,868",492
2017-08-14,1201,1517,-316,2776,1575,-1726,"16,937","40,782","-23,845","3,274","2,247","1,027"
