,기간자금설정,기간자금해지,증감
2019-06-26,"38,198","42,147","-3,949"
2019-06-25,"28,663","33,221","-4,558"
2019-06-24,"24,897","34,345","-9,448"
2019-06-21,"30,130","43,243","-13,113"
2019-06-20,"18,294","38,813","-20,519"
2019-06-19,"25,593","16,816","8,777"
2019-06-18,"29,886","16,143","13,743"
2019-06-17,"21,324","30,784","-9,460"
2019-06-14,"42,245","25,595","16,650"
2019-06-13,"33,645","22,977","10,668"
2019-06-12,"34,652","17,059","17,593"
2019-06-11,"36,583","20,633","15,951"
2019-06-10,"26,791","29,193","-2,402"
2019-06-07,"29,794","34,375","-4,581"
2019-06-05,"26,901","22,682","4,219"
2019-06-04,"85,107","35,218","49,889"
2019-06-03,"28,594","29,365",-771
2019-05-31,"40,366","88,295","-47,929"
2019-05-30,"23,945","36,435","-12,490"
2019-05-29,"34,001","39,326","-5,325"
2019-05-28,"28,561","30,200","-1,640"
2019-05-27,"30,973","38,709","-7,736"
2019-05-24,"24,445","36,144","-11,699"
2019-05-23,"19,734","29,168","-9,434"
2019-05-22,"33,500","29,940","3,560"
2019-05-21,"38,190","25,232","12,958"
2019-05-20,"27,707","36,798","-9,090"
2019-05-17,"32,945","33,782",-837
2019-05-16,"50,166","33,102","17,064"
2019-05-15,"42,189","44,833","-2,644"
2019-05-14,"40,718","23,608","17,109"
2019-05-13,"30,671","37,514","-6,843"
2019-05-10,"37,242","32,173","5,069"
2019-05-09,"27,842","38,893","-11,051"
2019-05-08,"35,181","19,210","15,971"
2019-05-07,"64,006","37,521","26,485"
2019-05-03,"110,695","31,317","79,378"
2019-05-02,"36,015","33,594","2,421"
2019-04-30,"49,721","108,177","-58,456"
2019-04-29,"29,889","27,904","1,985"
2019-04-26,"29,030","44,125","-15,094"
2019-04-25,"23,791","34,386","-10,596"
2019-04-24,"29,205","30,337","-1,132"
2019-04-23,"29,572","27,083","2,489"
2019-04-22,"26,717","28,668","-1,951"
2019-04-19,"42,068","32,089","9,979"
2019-04-18,"25,805","28,255","-2,449"
2019-04-17,"23,110","32,010","-8,899"
2019-04-16,"44,764","27,146","17,618"
2019-04-15,"35,808","30,597","5,211"
2019-04-12,"63,948","19,233","44,716"
2019-04-11,"26,369","34,765","-8,396"
2019-04-10,"24,205","27,808","-3,603"
2019-04-09,"27,963","30,232","-2,270"
2019-04-08,"27,750","33,634","-5,884"
2019-04-05,"22,407","22,750",-343
2019-04-04,"59,527","25,411","34,117"
2019-04-03,"49,861","38,105","11,755"
2019-04-02,"129,851","21,223","108,628"
2019-04-01,"43,616","48,871","-5,255"
2019-03-29,"66,292","135,991","-69,699"
2019-03-28,"62,489","63,274",-785
2019-03-27,"55,150","44,596","10,554"
2019-03-26,"32,169","48,690","-16,521"
2019-03-25,"39,567","50,781","-11,214"
2019-03-22,"29,348","57,571","-28,223"
2019-03-21,"31,612","36,011","-4,399"
2019-03-20,"27,205","42,594","-15,388"
2019-03-19,"36,126","28,146","7,980"
2019-03-18,"31,615","40,679","-9,064"
2019-03-15,"41,786","33,533","8,252"
2019-03-14,"34,761","18,332","16,429"
2019-03-13,"31,409","28,240","3,169"
2019-03-12,"39,509","25,595","13,914"
2019-03-11,"42,037","36,232","5,806"
2019-03-08,"38,651","44,852","-6,201"
2019-03-07,"21,815","28,307","-6,492"
2019-03-06,"26,926","22,251","4,674"
2019-03-05,"84,383","25,951","58,432"
2019-03-04,"41,456","31,322","10,133"
2019-02-28,"44,759","109,400","-64,640"
2019-02-27,"45,802","36,696","9,106"
2019-02-26,"29,211","41,002","-11,791"
2019-02-25,"20,942","38,839","-17,897"
2019-02-22,"26,855","48,234","-21,379"
2019-02-21,"38,293","37,908",385
2019-02-20,"23,912","26,806","-2,893"
2019-02-19,"24,982","23,632","1,350"
2019-02-18,"25,609","28,948","-3,338"
2019-02-15,"50,992","33,546","17,445"
2019-02-14,"39,809","39,399",410
2019-02-13,"34,033","33,036",997
2019-02-12,"51,377","36,924","14,454"
2019-02-11,"30,682","24,009","6,673"
2019-02-08,"89,927","23,850","66,077"
2019-02-07,"49,873","32,906","16,967"
2019-02-01,"34,229","23,368","10,861"
2019-01-31,"44,816","104,219","-59,403"
2019-01-30,"49,837","51,728","-1,891"
2019-01-29,"49,431","41,059","8,371"
2019-01-28,"22,067","38,347","-16,280"
2019-01-25,"22,401","41,845","-19,444"
2019-01-24,"25,511","27,079","-1,568"
2019-01-23,"26,936","25,693","1,242"
2019-01-22,"18,327","35,798","-17,470"
2019-01-21,"26,207","31,526","-5,320"
2019-01-18,"32,737","36,197","-3,460"
2019-01-17,"25,312","34,614","-9,302"
2019-01-16,"41,246","20,014","21,231"
2019-01-15,"32,150","26,769","5,381"
2019-01-14,"25,239","34,026","-8,787"
2019-01-11,"37,706","25,362","12,344"
2019-01-10,"31,029","21,392","9,636"
2019-01-09,"35,316","15,209","20,107"
2019-01-08,"54,253","22,415","31,838"
2019-01-07,"59,438","23,049","36,389"
2019-01-04,"104,647","23,507","81,140"
2019-01-03,"135,324","51,497","83,827"
2019-01-02,"41,705","27,487","14,218"
2018-12-31,"65,387","85,102","-19,715"
2018-12-28,"73,792","89,587","-15,795"
2018-12-27,"51,677","78,701","-27,025"
2018-12-26,"42,389","52,460","-10,072"
2018-12-24,"28,027","44,820","-16,794"
2018-12-21,"30,170","64,978","-34,807"
2018-12-20,"25,635","40,348","-14,713"
2018-12-19,"21,735","19,563","2,172"
2018-12-18,"36,784","42,670","-5,886"
2018-12-17,"22,056","33,157","-11,101"
2018-12-14,"47,573","47,646",-73
2018-12-13,"32,892","28,184","4,708"
2018-12-12,"36,470","20,802","15,668"
